country,item_names,item_prices_usd,categoria_propia
Bulgaria,Domestic Beer(0.5 liter draught),1.92,Restaurantes
Croatia,Domestic Beer(0.5 liter draught),3.13,Restaurantes
Montenegro,Domestic Beer(0.5 liter draught),2.68,Restaurantes
Albania,Domestic Beer(0.5 liter draught),2.57,Restaurantes
Hungary,Domestic Beer(0.5 liter draught),2.07,Restaurantes
Armenia,Domestic Beer(0.5 liter draught),2.07,Restaurantes
Panama,Domestic Beer(0.5 liter draught),2.0,Restaurantes
Venezuela,Domestic Beer(0.5 liter draught),1.5,Restaurantes
Costa Rica,Domestic Beer(0.5 liter draught),2.95,Restaurantes
Romania,Domestic Beer(0.5 liter draught),2.16,Restaurantes
Mexico,Domestic Beer(0.5 liter draught),2.65,Restaurantes
Georgia,Domestic Beer(0.5 liter draught),1.87,Restaurantes
Kazakhstan,Domestic Beer(0.5 liter draught),1.32,Restaurantes
Hong Kong (China),Domestic Beer(0.5 liter draught),6.4,Restaurantes
Azerbaijan,Domestic Beer(0.5 liter draught),1.47,Restaurantes
Poland,Domestic Beer(0.5 liter draught),3.47,Restaurantes
Slovakia,Domestic Beer(0.5 liter draught),2.15,Restaurantes
Czech Republic,Domestic Beer(0.5 liter draught),2.15,Restaurantes
Chile,Domestic Beer(0.5 liter draught),3.17,Restaurantes
Serbia,Domestic Beer(0.5 liter draught),2.29,Restaurantes
United Arab Emirates,Domestic Beer(0.5 liter draught),10.48,Restaurantes
South Africa,Domestic Beer(0.5 liter draught),2.16,Restaurantes
Turkey,Domestic Beer(0.5 liter draught),2.78,Restaurantes
Belarus,Domestic Beer(0.5 liter draught),1.0,Restaurantes
Russia,Domestic Beer(0.5 liter draught),1.74,Restaurantes
Moldova,Domestic Beer(0.5 liter draught),1.42,Restaurantes
South Korea,Domestic Beer(0.5 liter draught),3.3,Restaurantes
Jordan,Domestic Beer(0.5 liter draught),6.35,Restaurantes
Argentina,Domestic Beer(0.5 liter draught),1.78,Restaurantes
Cuba,Domestic Beer(0.5 liter draught),2.38,Restaurantes
Palestine,Domestic Beer(0.5 liter draught),3.49,Restaurantes
Jamaica,Domestic Beer(0.5 liter draught),2.25,Restaurantes
Japan,Domestic Beer(0.5 liter draught),2.94,Restaurantes
Mauritius,Domestic Beer(0.5 liter draught),2.16,Restaurantes
Ukraine,Domestic Beer(0.5 liter draught),1.01,Restaurantes
Brazil,Domestic Beer(0.5 liter draught),1.96,Restaurantes
Bosnia And Herzegovina,Domestic Beer(0.5 liter draught),1.65,Restaurantes
North Macedonia,Domestic Beer(0.5 liter draught),2.05,Restaurantes
Oman,Domestic Beer(0.5 liter draught),10.39,Restaurantes
Uzbekistan,Domestic Beer(0.5 liter draught),1.1,Restaurantes
Taiwan,Domestic Beer(0.5 liter draught),1.85,Restaurantes
Colombia,Domestic Beer(0.5 liter draught),1.28,Restaurantes
Iraq,Domestic Beer(0.5 liter draught),2.0,Restaurantes
Peru,Domestic Beer(0.5 liter draught),2.13,Restaurantes
Kenya,Domestic Beer(0.5 liter draught),2.23,Restaurantes
