,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
39,Argentina,Personal Care,Standard men's haircut in expat area of the city,7579.0,8.0,Cuidado personal
40,Argentina,Entertainment,Basic dinner out for two in neighborhood pub,29802.0,32.0,Restaurantes
41,Argentina,Entertainment,2 tickets to the movies,12466.0,13.0,Ocio
42,Argentina,Entertainment,2 tickets to the theater (best available seats),151754.0,162.0,Ocio
43,Argentina,Entertainment,"Dinner for two at an italian restaurant in the expat area including appetisers, main course, wine and dessert",44634.0,48.0,Restaurantes
44,Argentina,Entertainment,1 cocktail drink in downtown club,8223.0,9.0,Restaurantes
45,Argentina,Entertainment,Cappuccino in expat area of the city,3990.0,4.27,Restaurantes
46,Argentina,Entertainment,1 beer in neighbourhood pub (500ml or 1pt.),3340.0,3.57,Restaurantes
47,Argentina,Entertainment,Ipad wi-fi 128gb,1326470.0,1418.0,Comunicaciones
48,Argentina,Entertainment,1 min. of prepaid mobile tariff (no discounts or plans),442.0,0.47,Comunicaciones
49,Argentina,Entertainment,1 month of gym membership in business district,30583.0,33.0,Ocio
50,Argentina,Entertainment,1 package of marlboro cigarettes,4078.0,4.36,"Alimentos, bebidas y tabaco"
0,Armenia,Food,Basic lunchtime menu (including a drink) in the business district,3675.0,9.0,Restaurantes
1,Armenia,Food,Combo meal in fast food restaurant (big mac meal or similar),3107.0,8.0,Restaurantes
2,Armenia,Food,500 gr (1 lb.) of boneless chicken breast,1654.0,4.26,"Alimentos, bebidas y tabaco"
3,Armenia,Food,1 liter (1 qt.) of whole fat milk,813.0,2.1,"Alimentos, bebidas y tabaco"
4,Armenia,Food,"12 eggs, large",1367.0,3.52,"Alimentos, bebidas y tabaco"
5,Armenia,Food,1 kg (2 lb.) of tomatoes,1029.0,2.65,"Alimentos, bebidas y tabaco"
6,Armenia,Food,500 gr (16 oz.) of local cheese,2325.0,5.99,"Alimentos, bebidas y tabaco"
7,Armenia,Food,1 kg (2 lb.) of apples,874.0,2.25,"Alimentos, bebidas y tabaco"
8,Armenia,Food,1 kg (2 lb.) of potatoes,298.0,0.77,"Alimentos, bebidas y tabaco"
9,Armenia,Food,0.5 l (16 oz) domestic beer in the supermarket,534.0,1.37,"Alimentos, bebidas y tabaco"
10,Armenia,Food,"1 bottle of red table wine, good quality",4767.0,12.0,"Alimentos, bebidas y tabaco"
11,Armenia,Food,2 liters of coca-cola,1325.0,3.41,"Alimentos, bebidas y tabaco"
12,Armenia,Food,Bread for 2 people for 1 day,301.0,0.78,"Alimentos, bebidas y tabaco"
13,Armenia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,559257.0,1441.0,Alquiler
14,Armenia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,309415.0,797.0,Alquiler
15,Armenia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",38038.0,98.0,Servicios públicos
16,Armenia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,412781.0,1063.0,Alquiler
17,Armenia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,200000.0,515.0,Alquiler
18,Armenia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",15000.0,39.0,Servicios públicos
19,Armenia,Housing,Internet 8 mbps (1 month),5711.0,15.0,Comunicaciones
20,Armenia,Housing,40” flat screen tv,,,Electrodomésticos
21,Armenia,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",,,Electrodomésticos
22,Armenia,Housing,Laundry detergent (3 l. ~ 100 oz.),7681.0,20.0,Cuidado personal
